source,target,weight
ELLSWORTH INDUSTRIAL BLVD @ 1425,ELLSWORTH INDUSTRIAL BLVD @ 1455,0.137
ELLSWORTH INDUSTRIAL BLVD @ 1455,ELLSWORTH INDUSTRIAL BLVD @ 1611,0.104
ELLSWORTH INDUSTRIAL BLVD @ 1611,ELLSWORTH INDUSTRIAL BLVD @ CHATTAHOOCHEE AVE,0.2
ELLSWORTH INDUSTRIAL BLVD @ CHATTAHOOCHEE AVE,CHATTAHOOCHEE AVE @ SOUTHLAND CIR,0.266
CHATTAHOOCHEE AVE @ SOUTHLAND CIR,CHATTAHOOCHEE AVE NW @ CARROLL DR NW,0.098
CHATTAHOOCHEE AVE NW @ CARROLL DR NW,CHATTAHOOCHEE AVE @ 1391,0.109
CHATTAHOOCHEE AVE NW @ CARROLL DR NW,CHATTAHOOCHEE AVE NW @ SOUTHLAND CIR NW,0.156
CHATTAHOOCHEE AVE @ 1391,CHATTAHOOCHEE AVE NW @ LOGAN CIR NW,0.065
CHATTAHOOCHEE AVE NW @ LOGAN CIR NW,CHATTAHOOCHEE AVE NW @ COLLIER RD NW,0.254
CHATTAHOOCHEE AVE NW @ LOGAN CIR NW,CHATTAHOOCHEE AVE NW @ 1396,0.07
CHATTAHOOCHEE AVE NW @ COLLIER RD NW,CHATTAHOOCHEE AVE @ 1495,0.09
CHATTAHOOCHEE AVE NW @ COLLIER RD NW,CHATTAHOOCHEE AVE NW @ LOGAN CIR NW,0.254
CHATTAHOOCHEE AVE @ 1495,CHATTAHOOCHEE AVE NW @ MARIETTA BLVD,0.057
CHATTAHOOCHEE AVE NW @ MARIETTA BLVD,MARIETTA BLVD @ 2095,0.224
CHATTAHOOCHEE AVE NW @ MARIETTA BLVD,CHATTAHOOCHEE AVE NW @ COLLIER RD NW,0.146
CHATTAHOOCHEE AVE NW @ 1396,CHATTAHOOCHEE AVE NW @ CARROLL DR NW,0.105
CHATTAHOOCHEE AVE NW @ SOUTHLAND CIR NW,CHATTAHOOCHEE AVE NW @ ELLSWORTH INDUSTRIAL BLVD,0.18
CHATTAHOOCHEE AVE NW @ ELLSWORTH INDUSTRIAL BLVD,ELLSWORTH INDUSTRIAL BLVD @ 1530,0.234
ELLSWORTH INDUSTRIAL BLVD @ 1530,ELLSWORTH INDUSTRIAL BLVD @ 1510,0.07
ELLSWORTH INDUSTRIAL BLVD @ 1510,ELLSWORTH INDUSTRIAL BLVD @ ELAINE AVE NW,0.295
ELLSWORTH INDUSTRIAL BLVD @ 1320,HUFF RD NW @ ELLSWORTH INDUSTRIAL BLVD NW,0.167
HUFF RD NW @ ELLSWORTH INDUSTRIAL BLVD NW,HUFF RD @ 1088,0.136
HUFF RD @ 1088,HUFF RD NW @ FAIRMONT AVE NW,0.08
HUFF RD @ N ASHBY ST,HUFF RD @ FOSTER ST,0.223
HUFF RD @ FOSTER ST,HUFF RD NW @ HOWELL MILL RD NW,0.074
HUFF RD NW @ HOWELL MILL RD NW,14TH ST NW @ HOWELL MILL RD NW,0.153
14TH ST NW @ NORTHSIDE DR NW,14TH ST @ MCMILLAN ST,0.189
14TH ST @ ATLANTIC DR,14TH ST @ BARNES ST,0.178
14TH ST @ SPRING ST,SPRING ST @ 12TH ST,0.197
SPRING ST @ 12TH ST,MIDTOWN STATION,0.234
PANTHERSVILLE RD @ BOULDERCREST RD,PANTHERSVILLE RD @ BRITTANY PARK LN,0.371
PANTHERSVILLE RD @ BRITTANY PARK LN,PANTHERSVILLE RD @ FORK CREEK CHURCH RD,0.271
PANTHERSVILLE RD @ FORK CREEK CHURCH RD,PANTHERSVILLE RD @ JAGUAR DR,0.12
PANTHERSVILLE RD @ JAGUAR DR,PANTHERSVILLE RD @ RIVER RD,0.433
PANTHERSVILLE RD @ RIVER RD,PANTHERSVILLE RD @ RIVER SUMMIT LN,0.186
PANTHERSVILLE RD @ RIVER RD,RIVER RD @ PANTHERSVILLE RD,0.019
PANTHERSVILLE RD @ RIVER RD,RIVER RD @ RIVER LAKE SHORE,0.357
PANTHERSVILLE RD @ RIVER SUMMIT LN,PANTHERSVILLE RD @ RIVER TREE DR,0.21
PANTHERSVILLE RD @ RIVER SUMMIT LN,PANTHERSVILLE RD @ RIVER RD,0.186
PANTHERSVILLE RD @ RIVER TREE DR,PANTHERSVILLE RD @ ROVENA CT,0.213
PANTHERSVILLE RD @ RIVER TREE DR,PANTHERSVILLE RD @ RIVER SUMMIT LN,0.21
PANTHERSVILLE RD @ ROVENA CT,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,0.314
PANTHERSVILLE RD @ ROVENA CT,PANTHERSVILLE RD @ RIVER TREE DR,0.213
PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,0.0
PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ 3073,0.584
PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ 3303,0.144
PANTHERSVILLE RD @ 3073,PANTHERSVILLE RD @ GLEN HOLLOW DR,0.212
PANTHERSVILLE RD @ 3073,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,0.584
PANTHERSVILLE RD @ GLEN HOLLOW DR,PANTHERSVILLE RD @ 2929,0.248
PANTHERSVILLE RD @ GLEN HOLLOW DR,PANTHERSVILLE RD @ 3073,0.212
PANTHERSVILLE RD @ 2929,FLAT SHOALS RD @ FAIRLAKE DR,0.128
PANTHERSVILLE RD @ 2929,PANTHERSVILLE RD @ GLEN HOLLOW DR,0.248
FLAT SHOALS RD @ FAIRLAKE DR,CANDLER RD @ WARREN RD,0.189
CANDLER RD @ WARREN RD,CANDLER RD @ S RAINBOW DR,0.146
CANDLER RD @ S RAINBOW DR,SOUTH DEKALB MALL (PICADILLY),0.126
CANDLER RD @ S RAINBOW DR,CANDLER RD @ RAINBOW DR,0.198
CANDLER RD @ S RAINBOW DR,CANDLER RD @ FLAT SHOALS RD,0.118
SOUTH DEKALB MALL (PICADILLY),SOUTH DEKALB MALL (MACY'S),0.093
SOUTH DEKALB MALL (PICADILLY),CANDLER RD @ S RAINBOW DR,0.126
SOUTH DEKALB MALL (MACY'S),CANDLER RD @ RAINBOW WAY,0.153
SOUTH DEKALB MALL (MACY'S),SOUTH DEKALB MALL (PICADILLY),0.093
CANDLER RD @ RAINBOW WAY,CANDLER RD @ EASTWYCK RD,0.294
CANDLER RD @ RAINBOW WAY,RAINBOW WAY @ CANDLER RD,0.028
CANDLER RD @ TILSON RD,CANDLER RD @ MCAFEE RD,0.198
CANDLER RD @ TILSON RD,CANDLER RD @ CANDLER PKWY,0.111
CANDLER RD @ MCAFEE RD,CANDLER RD @ MELLVILLE AVE,0.112
CANDLER RD @ MCAFEE RD,CANDLER RD @ TILSON RD,0.198
CANDLER RD @ MELLVILLE AVE,CANDLER RD @ NORTHVIEW AVE,0.064
CANDLER RD @ MELLVILLE AVE,CANDLER RD @ MCAFEE RD,0.112
CANDLER RD @ NORTHVIEW AVE,CANDLER RD @ HILLSIDE AVE,0.2
CANDLER RD @ NORTHVIEW AVE,CANDLER RD @ MELLVILLE AVE,0.064
CANDLER RD @ HILLSIDE AVE,CANDLER RD @ GLENWOOD RD,0.188
CANDLER RD @ HILLSIDE AVE,CANDLER RD @ NORTHVIEW AVE,0.2
CANDLER RD @ GLENWOOD RD,CANDLER RD @ EASTWOOD DR,0.098
CANDLER RD @ GLENWOOD RD,CANDLER RD @ HILLSIDE AVE,0.188
CANDLER RD @ EASTWOOD DR,CANDLER RD @ AMELIA AVE,0.075
CANDLER RD @ AMELIA AVE,CANDLER RD @ WHITE OAK DR,0.088
CANDLER RD @ WHITE OAK DR,CANDLER RD @ ALSTON DR,0.127
CANDLER RD @ WHITE OAK DR,CANDLER RD @ DAWES AVE,0.054
CANDLER RD @ ALSTON DR,CANDLER RD @ 240,0.09
CANDLER RD @ 240,CANDLER RD @ TUPELO ST,0.158
CANDLER RD @ TUPELO ST,CANDLER RD @ CHEVELLE LN NE,0.239
CANDLER RD @ CHEVELLE LN NE,S CANDLER ST @ E PHARR RD,0.123
CANDLER RD @ CHEVELLE LN NE,HOSEA L WILLIAMS DR @ SPENCE AVE,0.218
S CANDLER ST @ E PHARR RD,S CANDLER ST @ CANDLER DR,0.084
S CANDLER ST @ CANDLER DR,S CANDLER ST @ OVERLOOK BLUFF,0.121
S CANDLER ST @ OVERLOOK BLUFF,S CANDLER ST @ MIDWAY RD,0.119
S CANDLER ST @ MIDWAY RD,S CANDLER ST @ BUCHANAN TER,0.082
S CANDLER ST @ MIDWAY RD,S CANDLER ST @ BROWER ST,0.11
S CANDLER ST @ BUCHANAN TER,S CANDLER ST @ KIRK RD,0.124
S CANDLER ST @ BUCHANAN TER,S CANDLER ST @ MIDWAY RD,0.082
S CANDLER ST @ KIRK RD,S CANDLER ST @ DAVIS ST,0.161
S CANDLER ST @ KIRK RD,S CANDLER ST @ BUCHANAN TER,0.124
S CANDLER ST @ DAVIS ST,S CANDLER ST @ HANCOCK ST,0.08
S CANDLER ST @ HANCOCK ST,S CANDLER ST @ DOUGHERTY ST,0.183
S CANDLER ST @ DOUGHERTY ST,S CANDLER ST @ 206,0.069
S CANDLER ST @ 206,S CANDLER ST @ COLLEGE AVE,0.192
S CANDLER ST @ COLLEGE AVE,E TRINITY PL @ CHURCH ST,0.215
E TRINITY PL @ CHURCH ST,W TRINITY PL @ COMMERCE DR,0.174
E TRINITY PL @ CHURCH ST,S CANDLER ST @ E COLLEGE AVE,0.222
W TRINITY PL @ COMMERCE DR,W TRINITY PL @ SWANTON WAY,0.13
W TRINITY PL @ SWANTON WAY,DECATUR STATION - BUS LOOP,0.167
DECATUR STATION - BUS LOOP,SWANTON WAY @ W TRINIY PL,0.187
DECATUR STATION - BUS LOOP,COMMERCE DR @ W PONCE DE LEON AVE,0.116
DECATUR STATION - BUS LOOP,COMMERCE DR @ W TRINITY PL,0.171
CANDLER RD @ RAINBOW DR,CANDLER RD @ RAINBOW WAY,0.112
CANDLER RD @ RAINBOW DR,CANDLER RD @ S RAINBOW DR,0.198
LINECREST RD @ 3800,LINECREST RD @ CATALPA WAY,0.194
LINECREST RD @ CATALPA WAY,LINECREST RD @ RIDGETOP DR,0.281
LINECREST RD @ RIDGETOP DR,LINECREST RD @ DAVANA DR,0.286
LINECREST RD @ DAVANA DR,LINECREST RD @ LINCOLNDALE DR,0.199
LINECREST RD @ LINCOLNDALE DR,CLEVEMONT RD @ CLEVEMONT CT,0.139
CLEVEMONT RD @ CLEVEMONT CT,CLEVEMONT RD @ CLEVEMONT WAY,0.256
CLEVEMONT RD @ CLEVEMONT WAY,CLEVEMONT RD @ LINEVIEW DR,0.104
CLEVEMONT RD @ LINEVIEW DR,CLEVEMONT RD @ 4203,0.126
CLEVEMONT RD @ 4203,RIVER RD @ RIVER MILL LN,0.581
RIVER RD @ RIVER MILL LN,RIVER RD @ 3796,0.215
RIVER RD @ 3796,RIVER RD @ RIVERVIEW CLUB DR,0.096
RIVER RD @ 3796,RIVER RD @ WABASH LN,0.154
RIVER RD @ RIVERVIEW CLUB DR,RIVER RD @ RIVERCHASE DR,0.463
RIVER RD @ RIVERVIEW CLUB DR,RIVER RD @ 3796,0.096
RIVER RD @ RIVERCHASE DR,RIVER RD @ KRISTA LN,0.154
RIVER RD @ RIVERCHASE DR,RIVER RD @ RIVERVIEW CHASE DR,0.277
RIVER RD @ KRISTA LN,RIVER RD @ WELLHAUN RD,0.212
RIVER RD @ KRISTA LN,RIVER RD @ RIVERCHASE DR,0.154
RIVER RD @ WELLHAUN RD,RIVER RD @ WALDROP RD,0.26
RIVER RD @ WELLHAUN RD,RIVER RD @ KRISTA LN,0.212
RIVER RD @ WALDROP RD,RIVER RD @ RIVERSIDE PKWY,0.25
RIVER RD @ RIVERSIDE PKWY,RIVER RD @ GRAY BIRCH DR,0.1
RIVER RD @ RIVERSIDE PKWY,RIVER RD @ LANDGRAF COVE,0.228
RIVER RD @ GRAY BIRCH DR,RIVER RD @ OAKVALE RD,0.112
RIVER RD @ OAKVALE RD,RIVER RD @ CONLEY DOWNS DR,0.162
RIVER RD @ OAKVALE RD,RIVER RD @ CONLEY DOWNS LN,0.128
RIVER RD @ CONLEY DOWNS DR,RIVER RD @ RIVER RIDGE CT,0.127
RIVER RD @ CONLEY DOWNS DR,RIVER RD @ OAKVALE RD,0.162
RIVER RD @ RIVER RIDGE CT,RIVER RD @ SEABASS RD,0.172
RIVER RD @ RIVER RIDGE CT,RIVER RD @ CONLEY DOWNS DR,0.127
RIVER RD @ SEABASS RD,RIVER RD @ PANTHERSVILLE RD,0.203
RIVER RD @ SEABASS RD,RIVER RD @ RIVER RIDGE CT,0.172
RIVER RD @ PANTHERSVILLE RD,PANTHERSVILLE RD @ RIVER SUMMIT LN,0.187
RIVER RD @ PANTHERSVILLE RD,RIVER RD @ SEABASS RD,0.203
SWANTON WAY @ W TRINIY PL,E TRINITY PL @ CHURCH ST,0.324
SWANTON WAY @ W TRINIY PL,N MCDONOUGH ST @ E MAPLE ST,0.28
S CANDLER ST @ E COLLEGE AVE,S CANDLER ST @ 184,0.147
S CANDLER ST @ 184,S CANDLER ST @ E DOUGHERTY ST,0.085
S CANDLER ST @ E DOUGHERTY ST,S CANDLER ST @ E HANCOCK ST,0.161
S CANDLER ST @ E HANCOCK ST,S CANDLER ST @ E DAVIS ST,0.083
S CANDLER ST @ E DAVIS ST,S CANDLER ST @ KIRK RD,0.183
S CANDLER ST @ BROWER ST,CANDLER ST @ CANDLER DR,0.09
CANDLER ST @ CANDLER DR,CANDLER ST @ E PHARR RD,0.082
CANDLER ST @ E PHARR RD,CANDLER RD @ HOSEA L WILLIAMS DR,0.155
CANDLER RD @ HOSEA L WILLIAMS DR,CANDLER RD @ TUPELO ST SE,0.2
CANDLER RD @ TUPELO ST SE,CANDLER RD @ MEMORIAL DR SE,0.106
CANDLER RD @ TUPELO ST SE,MEMORIAL DR SE @ CANDLER RD SE,0.125
CANDLER RD @ MEMORIAL DR SE,CANDLER RD @ ALSTON DR SE,0.183
CANDLER RD @ ALSTON DR SE,CANDLER RD @ WHITE OAK DR,0.139
CANDLER RD @ DAWES AVE,CANDLER RD @ SALMON AVE SE,0.104
CANDLER RD @ SALMON AVE SE,CANDLER RD @ GLENWOOD RD,0.105
CANDLER RD @ H F SHEPHERD DR,CANDLER RD @ RAINBOW DR,0.139
CANDLER RD @ H F SHEPHERD DR,SOUTH DEKALB MALL (MACY'S),0.167
CANDLER RD @ H F SHEPHERD DR,RAINBOW DR @ CANDLER RD,0.14
CANDLER RD @ FLAT SHOALS RD,FLAT SHOALS RD @ 3592,0.157
CANDLER RD @ FLAT SHOALS RD,FLAT SHOALS RD @ 3424,0.237
FLAT SHOALS RD @ 3592,PANTHERSVILLE RD @ FLAT SHOALS RD,0.105
PANTHERSVILLE RD @ FLAT SHOALS RD,PANTHERSVILLE RD @ 2929,0.076
PANTHERSVILLE RD @ 3303,PANTHERSVILLE RD @ OAKVALE RD,0.147
PANTHERSVILLE RD @ OAKVALE RD,PANTHERSVILLE RD @ ROVENA CT,0.306
RIVER RD @ CONLEY DOWNS LN,RIVER RD @ RIVERSIDE PKWY,0.084
RIVER RD @ LANDGRAF COVE,RIVER RD @ RIVERSIDE CSWY,0.118
RIVER RD @ RIVERSIDE CSWY,RIVER RD @ WELLHAUN RD,0.164
RIVER RD @ RIVERVIEW CHASE DR,RIVER RD @ RIVERVIEW CLUB DR,0.192
RIVER RD @ WABASH LN,RIVER RD @ MORTONS LANDING DR,0.105
RIVER RD @ MORTONS LANDING DR,RIVER RD @ OLD RIVER RD,0.251
RIVER RD @ OLD RIVER RD,RIVER RD @ RIDGETOP DR,0.189
RIVER RD @ RIDGETOP DR,RIVER RD @ BOSENBERRY WAY,0.326
RIVER RD @ BOSENBERRY WAY,RIVER RD @ LINECREST RD,0.149
RIVER RD @ LINECREST RD,LINECREST RD @ 3800,0.185
RIVER RD @ RIVER LAKE SHORE,RIVER RD @ DEER SPRING DR,0.443
RIVER RD @ DEER SPRING DR,RIVER RD @ 2330,0.292
RIVER RD @ 2330,RIVER RD @ MISTY LAKE,0.224
RIVER RD @ MISTY LAKE,RIVER RD @ TELSTAR DR,0.275
RIVER RD @ TELSTAR DR,RIVER RD @ BOULDERCREST RD,0.197
RIVER RD @ BOULDERCREST RD,BOULDERCREST RD @ BOULDER HILLS DR,0.132
BOULDERCREST RD @ BOULDER HILLS DR,BOULDERCREST RD @ FLOWERWOOD TRL,0.231
BOULDERCREST RD @ FLOWERWOOD TRL,BOULDERCREST @ 3220,0.495
BOULDERCREST RD @ FLOWERWOOD TRL,BOULDERCREST RD @ OLD RIVER RD,0.266
BOULDERCREST @ 3220,BOULDERCREST RD @ CLARK ST,0.298
BOULDERCREST @ 3220,BOULDERCREST RD @ FLOWERWOOD TRL,0.495
BOULDERCREST RD @ CLARK ST,BOULDERCREST RD @ CEDAR VALLEY LN,0.177
BOULDERCREST RD @ CLARK ST,BOULDERCREST @ 3220,0.298
BOULDERCREST RD @ CEDAR VALLEY LN,BOULDERCREST RD @ LOVELESS DR,0.382
BOULDERCREST RD @ CEDAR VALLEY LN,BOULDERCREST RD @ CLARK ST,0.177
BOULDERCREST RD @ LOVELESS DR,BOULDERCREST RD @ BOULDERCREST PARK RD,0.205
BOULDERCREST RD @ LOVELESS DR,BOULDERCREST RD @ CEDAR VALLEY LN,0.382
BOULDERCREST RD @ BOULDERCREST PARK RD,PANTHERSVILLE RD @ BOULDERCREST RD,0.241
BOULDERCREST RD @ BOULDERCREST PARK RD,BOULDERCREST RD @ PANTHERSVILLE RD,0.142
W HOWARD AVE @ PADEN CIR,W COLLEGE AVE @ DREXEL AVE,0.176
W HOWARD AVE @ PADEN CIR,EAST LAKE STATION - SOUTH LOOP,0.064
W COLLEGE AVE @ DREXEL AVE,W HOWARD AVE @ ADAIR ST,0.165
W HOWARD AVE @ ADAIR ST,W HOWARD AVE @ GREENWOOD CIR,0.227
W HOWARD AVE @ ADAIR ST,W HOWARD AVE @ DREXEL AVE,0.139
W HOWARD AVE @ GREENWOOD CIR,COMMERCE DR @ W HOWARD AVE,0.208
W HOWARD AVE @ GREENWOOD CIR,W HOWARD AVE @ ADAIR ST,0.227
COMMERCE DR @ W HOWARD AVE,COMMERCE DR @ ROBIN ST,0.217
COMMERCE DR @ W HOWARD AVE,W HOWARD AVE @ GREENWOOD CIR,0.208
COMMERCE DR @ ROBIN ST,DECATUR STATION - BUS LOOP,0.181
COMMERCE DR @ W PONCE DE LEON AVE,CLAIREMONT AVE @ HUNTER ST,0.258
COMMERCE DR @ W PONCE DE LEON AVE,DECATUR STATION - BUS LOOP,0.116
COMMERCE DR @ W PONCE DE LEON AVE,COMMERCE DR @ CLAIREMONT AVE,0.169
CLAIREMONT AVE @ HUNTER ST,CLAIREMONT AVE @ 441,0.091
CLAIREMONT AVE @ HUNTER ST,COMMERCE DR @ CLAIREMONT AVE,0.09
CLAIREMONT AVE @ 441,CLAIREMONT AVE @ ERIE AVE,0.098
CLAIREMONT AVE @ ERIE AVE,CLAIREMONT AVE @ MICHIGAN AVE,0.072
CLAIREMONT AVE @ MICHIGAN AVE,CLAIREMONT AVE @ GARDEN LN,0.207
CLAIREMONT AVE @ GARDEN LN,CLAIREMONT AVE @ SCOTT BLVD,0.125
CLAIREMONT AVE @ GARDEN LN,CLAIREMONT AVE @ LAMONT DR,0.089
CLAIREMONT AVE @ SCOTT BLVD,CLAIREMONT AVE @ MAEDIRIS DR,0.175
CLAIREMONT AVE @ SCOTT BLVD,CLAIREMONT AVE @ GARDEN LN,0.125
CLAIREMONT AVE @ MAEDIRIS DR,CLAIREMONT AVE @ CLAIRMONT RUN,0.12
CLAIREMONT AVE @ MAEDIRIS DR,CLAIREMONT AVE @ SCOTT BLVD,0.175
CLAIREMONT AVE @ CLAIRMONT RUN,CLAIRMONT RD @ N DECATUR RD,0.094
CLAIREMONT AVE @ CLAIRMONT RUN,CLAIREMONT AVE @ MAEDIRIS DR,0.12
CLAIRMONT RD @ N DECATUR RD,CLAIRMONT RD @ POWELL LN,0.139
CLAIRMONT RD @ N DECATUR RD,CLAIREMONT AVE @ CLAIRMONT RUN,0.094
CLAIRMONT RD @ POWELL LN,CLAIRMONT RD @ LADSON CT,0.081
CLAIRMONT RD @ POWELL LN,CLAIRMONT RD @ N DECATUR RD,0.139
CLAIRMONT RD @ LADSON CT,CLAIRMONT RD @ CLAIRMONT CIR,0.162
CLAIRMONT RD @ LADSON CT,CLAIRMONT RD @ POWELL LN,0.081
CLAIRMONT RD @ CLAIRMONT CIR,CLAIRMONT RD @ DESMOND DR,0.16
CLAIRMONT RD @ CLAIRMONT CIR,CLAIRMONT RD @ LADSON CT,0.162
CLAIRMONT RD @ DESMOND DR,CLAIRMONT RD @ STARVINE WAY,0.127
CLAIRMONT RD @ STARVINE WAY,CLAIRMONT RD @ CLAIRMONT LK,0.236
CLAIRMONT RD @ STARVINE WAY,CLAIRMONT RD @ CLAIRMONT CIR,0.276
CLAIRMONT RD @ CLAIRMONT LK,VA HOSPITAL,0.097
VA HOSPITAL,CLAIRMONT RD @ 1751,0.128
VA HOSPITAL,CLAIRMONT RD @ CLAIRMONT LAKE,0.1
CLAIRMONT RD @ 1751,CLAIRMONT RD @ BUTLER LN,0.158
CLAIRMONT RD @ BUTLER LN,CLAIRMONT RD @ BUTLER LN,0.0
CLAIRMONT RD @ BUTLER LN,CLAIRMONT RD @ MCCONNELL DR,0.241
CLAIRMONT RD @ BUTLER LN,CLAIRMONT RD @ SOUTHERN LN,0.192
CLAIRMONT RD @ MCCONNELL DR,CLAIRMONT RD @ WILLIAMSBURG DR,0.094
CLAIRMONT RD @ MCCONNELL DR,CLAIRMONT RD @ MASON MILL RD,0.216
CLAIRMONT RD @ WILLIAMSBURG DR,CLAIRMONT RD @ N DRUID HILLS RD,0.117
CLAIRMONT RD @ N DRUID HILLS RD,CLAIRMONT RD @ AZALEA CIR,0.226
CLAIRMONT RD @ N DRUID HILLS RD,CLAIRMONT RD @ N WILLIAMSBURG DR,0.1
CLAIRMONT RD @ AZALEA CIR,CLAIRMONT RD @ TRAILMARK DR,0.188
CLAIRMONT RD @ AZALEA CIR,CLAIRMONT RD @ N DRUID HILLS RD,0.226
CLAIRMONT RD @ TRAILMARK DR,CLAIRMONT RD @ LAVISTA RD,0.147
CLAIRMONT RD @ LAVISTA RD,CLAIRMONT RD @ PINE FOREST DR,0.369
CLAIRMONT RD @ LAVISTA RD,CLAIRMONT RD @ WILANDREW DR,0.149
CLAIRMONT RD @ PINE FOREST DR,CLAIRMONT RD @ BLACK FOX DR,0.077
CLAIRMONT RD @ BLACK FOX DR,CLAIRMONT RD @ COUNCIL BLUFF DR,0.363
CLAIRMONT RD @ COUNCIL BLUFF DR,CLAIRMONT RD @ AUDUBON DR,0.202
CLAIRMONT RD @ AUDUBON DR,CLAIRMONT RD @ BRIARCLIFF RD,0.265
CLAIRMONT RD @ BRIARCLIFF RD,CLAIRMONT RD @ 2890,0.376
CLAIRMONT RD @ 2890,CLAIRMONT RD @ CANNON FARM HILL RD,0.133
CLAIRMONT RD @ CANNON FARM HILL RD,CLAIRMONT RD NE @ CENTURY BLVD,0.15
CLAIRMONT RD NE @ CENTURY BLVD,CLAIRMONT RD @ CENTURY PL,0.136
CLAIRMONT RD @ CENTURY PL,CLAIRMONT RD @ MCJENKIN DR,0.158
CLAIRMONT RD @ MCJENKIN DR,CLAIRMONT RD @ CLAIRMONT NORTH  NE,0.142
CLAIRMONT RD @ CLAIRMONT NORTH  NE,CLAIRMONT RD @ TANGLEWOOD CIR,0.185
CLAIRMONT RD @ TANGLEWOOD CIR,CLAIRMONT RD @ CLAIRMONT TER,0.097
CLAIRMONT RD @ CLAIRMONT TER,CLAIRMONT RD @ BUFORD HWY,0.136
CLAIRMONT RD @ BUFORD HWY,CLAIRMONT RD @ SKYLAND RD,0.158
CLAIRMONT RD @ SKYLAND RD,CLAIRMONT RD @ RAVEN HILL DR,0.125
CLAIRMONT RD @ RAVEN HILL DR,CLAIRMONT RD @ CANMONT DR,0.11
CLAIRMONT RD @ CANMONT DR,CLAIRMONT RD @ DRESDEN DR,0.144
CLAIRMONT RD @ DRESDEN DR,CLAIRMONT RD @ BRAGG ST,0.163
CLAIRMONT RD @ BRAGG ST,CLAIRMONT RD @ YOUNG RD,0.092
CLAIRMONT RD @ YOUNG RD,CLAIRMONT RD @ W HARDEE AVE,0.143
CLAIRMONT RD @ W HARDEE AVE,CLAIRMONT RD @ TOBEY RD,0.086
CLAIRMONT RD @ TOBEY RD,CLAIRMONT RD @ AIRPORT RD,0.287
CLAIRMONT RD @ AIRPORT RD,CLAIRMONT RD @ DYER CIR,0.294
CLAIRMONT RD @ DYER CIR,CLAIRMONT RD NE @ LAWSON WAY,0.096
CLAIRMONT RD NE @ LAWSON WAY,CLAIRMONT RD @ NEW PEACHTREE RD,0.225
CLAIRMONT RD @ NEW PEACHTREE RD,NEW PEACHTREE RD @ HARDEE AVE,0.106
NEW PEACHTREE RD @ HARDEE AVE,CHAMBLEE STATION - EAST LOOP,0.231
NEW PEACHTREE RD @ HARDEE AVE,CLAIRMONT RD NE @ NEW PEACHTREE RD,0.118
CHAMBLEE STATION - EAST LOOP,NEW PEACHTREE RD @ HARDEE AVE,0.231
CHAMBLEE STATION - EAST LOOP,NEW PEACHTREE RD @ HOOD AVE,0.286
CHAMBLEE STATION - EAST LOOP,CHAMBLEE TUCKER RD @ FLIGHTWAY DR,0.441
CLAIRMONT RD NE @ NEW PEACHTREE RD,CLAIRMONT RD NE @ LAWSON DR,0.176
CLAIRMONT RD NE @ LAWSON DR,CLAIRMONT RD NE @ 5TH ST,0.134
CLAIRMONT RD NE @ 5TH ST,CLAIRMONT RD NE @ 8TH ST,0.232
CLAIRMONT RD NE @ 8TH ST,CLAIRMONT RD NE @ 9TH ST,0.087
CLAIRMONT RD NE @ 9TH ST,CLAIRMONT RD NE @ GEORGIAN DR E,0.311
CLAIRMONT RD NE @ 9TH ST,NORTH DEKALB HEALTH CENTER,0.28
CLAIRMONT RD NE @ GEORGIAN DR E,CLAIRMONT RD NE @ YOUNG RD,0.135
CLAIRMONT RD NE @ YOUNG RD,CLAIRMONT RD NE @ BRAGG ST,0.076
CLAIRMONT RD NE @ BRAGG ST,CLAIRMONT RD NE @ DRESDEN DR,0.17
CLAIRMONT RD NE @ DRESDEN DR,CLAIRMONT RD NE @ CANMONT DR,0.157
CLAIRMONT RD NE @ CANMONT DR,CLAIRMONT RD NE @ RAVEN HILL,0.144
CLAIRMONT RD NE @ RAVEN HILL,CLAIRMONT RD NE @ SKYLAND RD,0.084
CLAIRMONT RD NE @ SKYLAND RD,CLAIRMONT RD NE @ BUFORD HWY,0.135
CLAIRMONT RD NE @ BUFORD HWY,CLAIRMONT RD NE @ CLAIRMONT TER,0.19
CLAIRMONT RD NE @ CLAIRMONT TER,CLAIRMONT RD NE @ TANGLEWOOD CIR,0.091
CLAIRMONT RD NE @ TANGLEWOOD CIR,CLAIRMONT RD NE @ CLAIRMONT NORTH NE,0.173
CLAIRMONT RD NE @ CLAIRMONT NORTH NE,CLAIRMONT RD NE @ WILMONT DR,0.16
CLAIRMONT RD NE @ WILMONT DR,CLAIRMONT RD NE @ 3018,0.092
CLAIRMONT RD NE @ 3018,CLAIRMONT RD NE @ CENTURY PL,0.124
CLAIRMONT RD NE @ CENTURY PL,CLAIRMONT RD NE @ CLAIRMONT WAY,0.101
CLAIRMONT RD NE @ CLAIRMONT WAY,CLAIRMONT RD NE @ BARONE AVE NE,0.206
CLAIRMONT RD NE @ BARONE AVE NE,CLAIRMONT RD NE @ BRIARCLIFF RD NE,0.422
