source,target,weight
East Conyers Park and Ride,West Conyers Park and Ride (DT),5.144
East Conyers Park and Ride,Panola Rd Park and Ride,11.522
Jonesboro Park and Ride,Hampton Park and Ride,10.525
Jonesboro Park and Ride,Central Ave at Garnett St,15.525
Hampton Park and Ride,Jonesboro Park and Ride,10.525
Williams St at Baker St,John Portman Blvd at Peachtree St,0.194
John Portman Blvd at Peachtree St,John Portman Blvd at Courtland St,0.183
Hiram Park and Ride,Powder Springs Park and Ride,2.483
Powder Springs Park and Ride,Thornton Rd (S) at Bankhead Hwy,5.875
Powder Springs Park and Ride,Hiram Park and Ride,2.483
Thornton Rd (S) at Bankhead Hwy,Thornton Rd (S) at Maxham Rd,1.273
Thornton Rd (S) at Maxham Rd,Thornton Rd at Skyview Dr,0.996
Thornton Rd at Skyview Dr,Thornton Rd (S) at North Blairs Bridge Rd,0.194
Thornton Rd (S) at North Blairs Bridge Rd,Ted Turner Dr (N) at Brotherton St,12.206
Sugarloaf Mills GCT Park and Ride,Xpress Sugarloaf Mills P&R,0.37
Xpress Sugarloaf Mills P&R,Lindbergh Center Station,19.594
Xpress Sugarloaf Mills P&R,Dunwoody Station,15.405
Xpress Sugarloaf Mills P&R,Civic Center Station (NB),22.708
Xpress Sugarloaf Mills P&R,Mall of Georgia Park and Ride,8.502
Lindbergh Center Station,Sugarloaf Mills GCT Park and Ride,19.811
Panola Rd Park and Ride,Ted Turner Dr (N) at Brotherton St,13.3
Panola Rd Park and Ride,Civic Center Station (NB),13.08
Panola Rd Park and Ride,West Conyers Park and Ride (MT/Peri),6.791
Panola Rd Park and Ride,West Conyers Park and Ride (DT),6.679
Panola Rd Park and Ride,Dunwoody Station,18.043
West Conyers Park and Ride (MT/Peri),Panola Rd Park and Ride,6.791
West Conyers Park and Ride (MT/Peri),East Conyers Park and Ride,5.049
Medical Center Station,Peachtree-Dunwoody Rd at Concourse Pkwy,0.381
Peachtree-Dunwoody Rd at Concourse Pkwy,Dunwoody Station,0.538
Peachtree-Dunwoody Rd at Concourse Pkwy,Medical Center Station,0.381
Dunwoody Station,Panola Rd Park and Ride,18.043
Dunwoody Station,Perimeter Center Pkwy Office Park (N),0.294
Dunwoody Station,Peachtree-Dunwoody Rd at Concourse Pkwy,0.538
Dunwoody Station,Sugarloaf Mills GCT Park and Ride,15.516
West Conyers Park and Ride (DT),East Conyers Park and Ride,5.144
West Conyers Park and Ride (DT),Ted Turner Dr (N) at Brotherton St,19.969
West Conyers Park and Ride (DT),Panola Rd Park and Ride,6.679
Perimeter Center Pkwy Office Park (N),Perimeter Center at Perimeter Center Pkwy,0.152
Perimeter Center at Perimeter Center Pkwy,Sandy Springs Station,0.472
Sandy Springs Station,Cumming Park and Ride,21.003
