,stop_1,stop_2,stop1_lat,stop1_lon,stop2_lat,stop2_lon,hav_distance
317797,HUFF RD NW @ MENLO DR NW,HUFF RD NW @ ELLSWORTH IND BLVD,33.78931,-84.42392,33.788971,-84.426181,0.132
317798,HUFF RD NW @ ELLSWORTH IND BLVD,ELLSWORTH INDUSTRIAL BLVD @ ELAINE AVE NW,33.788971,-84.426181,33.792651,-84.426788,0.257
317799,HUFF RD NW @ ELLSWORTH IND BLVD,ELLSWORTH INDUSTRIAL BLVD @ ELAINE AVE NW,33.788971,-84.426181,33.792049,-84.426963,0.217
317800,ELLSWORTH INDUSTRIAL BLVD @ ELAINE AVE NW,ELLSWORTH INDUSTRIAL BLVD @ 1425,33.792651,-84.426788,33.793823,-84.426757,0.081
317801,ELLSWORTH INDUSTRIAL BLVD @ ELAINE AVE NW,ELLSWORTH INDUSTRIAL BLVD @ 1425,33.792049,-84.426963,33.793823,-84.426757,0.123
317802,ELLSWORTH INDUSTRIAL BLVD @ 1425,ELLSWORTH INDUSTRIAL BLVD @ 1455,33.793823,-84.426757,33.795799,-84.426957,0.137
317803,ELLSWORTH INDUSTRIAL BLVD @ 1455,ELLSWORTH INDUSTRIAL BLVD @ 1611,33.795799,-84.426957,33.797309,-84.426915,0.104
317804,ELLSWORTH INDUSTRIAL BLVD @ 1611,ELLSWORTH INDUSTRIAL BLVD @ CHATTAHOOCHEE AVE,33.797309,-84.426915,33.800198,-84.426944,0.2
317805,ELLSWORTH INDUSTRIAL BLVD @ CHATTAHOOCHEE AVE,CHATTAHOOCHEE AVE @ SOUTHLAND CIR,33.800198,-84.426944,33.802303,-84.430817,0.266
317806,CHATTAHOOCHEE AVE @ SOUTHLAND CIR,CHATTAHOOCHEE AVE NW @ CARROLL DR NW,33.802303,-84.430817,33.803268,-84.432123,0.1
317807,CHATTAHOOCHEE AVE @ SOUTHLAND CIR,CHATTAHOOCHEE AVE NW @ CARROLL DR NW,33.802303,-84.430817,33.803187,-84.432156,0.098
317808,CHATTAHOOCHEE AVE NW @ CARROLL DR NW,CHATTAHOOCHEE AVE @ 1391,33.803268,-84.432123,33.804464,-84.433268,0.106
317809,CHATTAHOOCHEE AVE NW @ CARROLL DR NW,CHATTAHOOCHEE AVE @ 1391,33.803187,-84.432156,33.804464,-84.433268,0.109
317810,CHATTAHOOCHEE AVE @ 1391,CHATTAHOOCHEE AVE NW @ LOGAN CIR NW,33.804464,-84.433268,33.805316,-84.433932,0.07
317811,CHATTAHOOCHEE AVE @ 1391,CHATTAHOOCHEE AVE NW @ LOGAN CIR NW,33.804464,-84.433268,33.805182,-84.433995,0.065
317812,CHATTAHOOCHEE AVE NW @ LOGAN CIR NW,CHATTAHOOCHEE AVE NW @ COLLIER RD NW,33.805316,-84.433932,33.808054,-84.43504,0.2
317813,CHATTAHOOCHEE AVE NW @ LOGAN CIR NW,CHATTAHOOCHEE AVE NW @ COLLIER RD NW,33.805316,-84.433932,33.808485,-84.435925,0.247
317814,CHATTAHOOCHEE AVE NW @ LOGAN CIR NW,CHATTAHOOCHEE AVE NW @ COLLIER RD NW,33.805182,-84.433995,33.808054,-84.43504,0.207
317815,CHATTAHOOCHEE AVE NW @ LOGAN CIR NW,CHATTAHOOCHEE AVE NW @ COLLIER RD NW,33.805182,-84.433995,33.808485,-84.435925,0.254
317816,CHATTAHOOCHEE AVE NW @ COLLIER RD NW,CHATTAHOOCHEE AVE @ 1495,33.808054,-84.43504,33.809388,-84.43706,0.148
317817,CHATTAHOOCHEE AVE NW @ COLLIER RD NW,CHATTAHOOCHEE AVE @ 1495,33.808485,-84.435925,33.809388,-84.43706,0.09
317818,CHATTAHOOCHEE AVE @ 1495,CHATTAHOOCHEE AVE NW @ MARIETTA BLVD,33.809388,-84.43706,33.810288,-84.438541,0.105
317819,CHATTAHOOCHEE AVE @ 1495,CHATTAHOOCHEE AVE NW @ MARIETTA BLVD,33.809388,-84.43706,33.809796,-84.43792,0.057
317820,CHATTAHOOCHEE AVE NW @ MARIETTA BLVD,MARIETTA BLVD @ 2095,33.810288,-84.438541,33.812825,-84.439287,0.18
317821,CHATTAHOOCHEE AVE NW @ MARIETTA BLVD,MARIETTA BLVD @ 2095,33.809796,-84.43792,33.812825,-84.439287,0.224
319587,MARIETTA BLVD NW @ 2130,CHATTAHOOCHEE AVE NW @ MARIETTA BLVD,33.813656,-84.44002,33.810288,-84.438541,0.248
319588,MARIETTA BLVD NW @ 2130,CHATTAHOOCHEE AVE NW @ MARIETTA BLVD,33.813656,-84.44002,33.809796,-84.43792,0.293
319589,CHATTAHOOCHEE AVE NW @ MARIETTA BLVD,CHATTAHOOCHEE AVE NW @ COLLIER RD NW,33.810288,-84.438541,33.808054,-84.43504,0.253
319590,CHATTAHOOCHEE AVE NW @ MARIETTA BLVD,CHATTAHOOCHEE AVE NW @ COLLIER RD NW,33.810288,-84.438541,33.808485,-84.435925,0.195
319591,CHATTAHOOCHEE AVE NW @ MARIETTA BLVD,CHATTAHOOCHEE AVE NW @ COLLIER RD NW,33.809796,-84.43792,33.808054,-84.43504,0.205
319592,CHATTAHOOCHEE AVE NW @ MARIETTA BLVD,CHATTAHOOCHEE AVE NW @ COLLIER RD NW,33.809796,-84.43792,33.808485,-84.435925,0.146
319593,CHATTAHOOCHEE AVE NW @ COLLIER RD NW,CHATTAHOOCHEE AVE NW @ LOGAN CIR NW,33.808054,-84.43504,33.805316,-84.433932,0.2
319594,CHATTAHOOCHEE AVE NW @ COLLIER RD NW,CHATTAHOOCHEE AVE NW @ LOGAN CIR NW,33.808054,-84.43504,33.805182,-84.433995,0.207
319595,CHATTAHOOCHEE AVE NW @ COLLIER RD NW,CHATTAHOOCHEE AVE NW @ LOGAN CIR NW,33.808485,-84.435925,33.805316,-84.433932,0.247
319596,CHATTAHOOCHEE AVE NW @ COLLIER RD NW,CHATTAHOOCHEE AVE NW @ LOGAN CIR NW,33.808485,-84.435925,33.805182,-84.433995,0.254
319597,CHATTAHOOCHEE AVE NW @ LOGAN CIR NW,CHATTAHOOCHEE AVE NW @ 1396,33.805316,-84.433932,33.804282,-84.433423,0.077
319598,CHATTAHOOCHEE AVE NW @ LOGAN CIR NW,CHATTAHOOCHEE AVE NW @ 1396,33.805182,-84.433995,33.804282,-84.433423,0.07
319599,CHATTAHOOCHEE AVE NW @ 1396,CHATTAHOOCHEE AVE NW @ CARROLL DR NW,33.804282,-84.433423,33.803268,-84.432123,0.102
319600,CHATTAHOOCHEE AVE NW @ 1396,CHATTAHOOCHEE AVE NW @ CARROLL DR NW,33.804282,-84.433423,33.803187,-84.432156,0.105
